timestamp,temperature,humidity,pressure,anomaly,anomaly_type,if_anomaly,if_score,rule_missing_temperature,rule_temp_frozen,rule_temp_drift,rule_anomaly,rule_anomaly_type,final_anomaly,final_anomaly_type
2024-01-01 02:00:00,7.8,98,1020.2,0,normal,0,0.09172715427699774,0,0,0,0,normal,0,normal
2024-01-01 03:00:00,8.8,100,1021.1,0,normal,0,0.08958341611835202,0,0,0,0,normal,0,normal
2024-01-01 04:00:00,8.6,98,1021.1,0,normal,0,0.08805747529080482,0,0,0,0,normal,0,normal
2024-01-01 05:00:00,9.5,96,1021.3,0,normal,0,0.08676126861382955,0,0,0,0,normal,0,normal
2024-01-01 06:00:00,9.4,95,1021.7,0,normal,0,0.0856810913477728,0,0,0,0,normal,0,normal
2024-01-01 07:00:00,13.6,77,1019.8,0,normal,0,0.05254625985769851,0,0,0,0,normal,0,normal
2024-01-01 08:00:00,15.0,73,1018.7,0,normal,0,0.089249560578678,0,0,0,0,normal,0,normal
2024-01-01 09:00:00,10.0,95,1019.3,0,normal,0,0.04172055534962965,0,0,0,0,normal,0,normal
2024-01-01 10:00:00,16.1,69,1017.3,0,normal,0,0.02336621572282066,0,0,0,0,normal,0,normal
2024-01-01 11:00:00,15.5,72,1017.1,0,normal,0,0.09199243594232431,0,0,0,0,normal,0,normal
2024-01-01 12:00:00,10.0,96,1018.6,0,normal,0,0.02452381229921735,0,0,0,0,normal,0,normal
2024-01-01 13:00:00,11.1,91,1017.7,0,normal,0,0.07145518843459697,0,0,0,0,normal,0,normal
2024-01-01 14:00:00,10.0,95,1018.2,0,normal,0,0.09862922255385076,0,0,0,0,normal,0,normal
2024-01-01 15:00:00,8.9,97,1018.4,0,normal,0,0.10464222232434295,0,0,0,0,normal,0,normal
2024-01-01 16:00:00,8.3,98,1018.5,0,normal,0,0.10260555233379487,0,0,0,0,normal,0,normal
2024-01-01 17:00:00,7.4,99,1019.2,0,normal,0,0.08851345303271418,0,0,0,0,normal,0,normal
2024-01-01 18:00:00,7.0,99,1018.9,0,normal,0,0.09418063712467611,0,0,0,0,normal,0,normal
2024-01-01 19:00:00,6.4,100,1018.8,0,normal,0,0.09514620801588769,0,0,0,0,normal,0,normal
2024-01-01 20:00:00,6.1,100,1018.6,0,normal,0,0.09592347589657096,0,0,0,0,normal,0,normal
2024-01-01 21:00:00,6.1,100,1018.6,0,normal,0,0.09425709461637388,0,0,0,0,normal,0,normal
2024-01-01 22:00:00,5.2,100,1018.4,0,normal,0,0.08843906772515792,0,0,0,0,normal,0,normal
2024-01-01 23:00:00,5.1,100,1018.3,0,normal,0,0.080489371255898,0,0,0,0,normal,0,normal
2024-01-02 00:00:00,6.7,99,1018.4,0,normal,0,0.06490076950657353,0,0,0,0,normal,0,normal
2024-01-02 01:00:00,6.9,99,1018.8,0,normal,0,0.09477675517303857,0,0,0,0,normal,0,normal
2024-01-02 02:00:00,7.0,99,1019.3,0,normal,0,0.09777312944908723,0,0,0,0,normal,0,normal
2024-01-02 03:00:00,8.4,95,1020.7,0,normal,0,0.08955422498177623,0,0,0,0,normal,0,normal
2024-01-02 04:00:00,8.4,98,1020.5,0,normal,0,0.09300751204867436,0,0,0,0,normal,0,normal
2024-01-02 05:00:00,8.9,97,1020.9,0,normal,0,0.09024626958925897,0,0,0,0,normal,0,normal
2024-01-02 06:00:00,9.6,87,1021.0,0,normal,0,0.08354949602244471,0,0,0,0,normal,0,normal
2024-01-02 07:00:00,11.7,83,1019.7,0,normal,0,0.0793647978738759,0,0,0,0,normal,0,normal
2024-01-02 08:00:00,12.2,79,1018.6,0,normal,0,0.0915136478071632,0,0,0,0,normal,0,normal
2024-01-02 09:00:00,11.2,78,1018.8,0,normal,0,0.09432500857592507,0,0,0,0,normal,0,normal
2024-01-02 10:00:00,14.1,71,1017.2,0,normal,0,0.07626901560402372,0,0,0,0,normal,0,normal
2024-01-02 11:00:00,14.0,72,1016.8,0,normal,0,0.10194958400518489,0,0,0,0,normal,0,normal
2024-01-02 12:00:00,10.0,87,1017.9,0,normal,0,0.06974701992162702,0,0,0,0,normal,0,normal
2024-01-02 13:00:00,10.0,92,1017.6,0,normal,0,0.0919031553240523,0,0,0,0,normal,0,normal
2024-01-02 14:00:00,10.7,88,1017.7,0,normal,0,0.09277121025011686,0,0,0,0,normal,0,normal
2024-01-02 15:00:00,7.9,95,1017.8,0,normal,0,0.07298168480522227,0,0,0,0,normal,0,normal
2024-01-02 16:00:00,7.6,96,1018.0,0,normal,0,0.09642867241054098,0,0,0,0,normal,0,normal
2024-01-02 17:00:00,6.9,97,1018.1,0,normal,0,0.0995609941613586,0,0,0,0,normal,0,normal
2024-01-02 18:00:00,6.3,99,1018.3,0,normal,0,0.09549196294262435,0,0,0,0,normal,0,normal
2024-01-02 19:00:00,6.1,100,1018.2,0,normal,0,0.0938624720733145,0,0,0,0,normal,0,normal
2024-01-02 20:00:00,6.0,100,1018.2,0,normal,0,0.09531472360642468,0,0,0,0,normal,0,normal
2024-01-02 21:00:00,5.8,100,1018.2,0,normal,0,0.09076288825726153,0,0,0,0,normal,0,normal
2024-01-02 22:00:00,6.1,100,1017.7,0,normal,0,0.08981966200482344,0,0,0,0,normal,0,normal
2024-01-02 23:00:00,6.4,99,1018.0,0,normal,0,0.08493987283183951,0,0,0,0,normal,0,normal
2024-01-03 00:00:00,6.6,99,1018.3,0,normal,0,0.09356871263346939,0,0,0,0,normal,0,normal
2024-01-03 01:00:00,6.7,99,1018.6,0,normal,0,0.0963318620216787,0,0,0,0,normal,0,normal
2024-01-03 02:00:00,6.8,99,1019.1,0,normal,0,0.09738778542957605,0,0,0,0,normal,0,normal
2024-01-03 03:00:00,8.2,92,1020.4,0,normal,0,0.08978715809293497,0,0,0,0,normal,0,normal
2024-01-03 04:00:00,7.6,98,1020.2,0,normal,0,0.08422954720619064,0,0,0,0,normal,0,normal
